path	media_type	source_group	authority	method	evidence	bytes	width	height
magica/resource/image_web/page/announce/icon_new.png	png	careful-human-current-canvas	careful-human-translation-on-current-us-canvas	reviewed-current-canvas-localization	magica/research/totentanz-full-localization-20260817/web-images/localized_ui_image_manifest.json#page/announce/icon_new.png	998	66	22
magica/resource/image_web/page/announce/icon_new_a.png	png	careful-human-current-canvas	careful-human-translation-on-current-us-canvas	reviewed-current-canvas-localization	magica/research/totentanz-full-localization-20260817/web-images/localized_ui_image_manifest.json#page/announce/icon_new_a.png	998	66	22
magica/resource/image_web/page/arena/btn_change.png	png	official-cn-same-path	official-cn-legacy-client	copy-official-cn-same-path-same-geometry	magica/research/totentanz-full-localization-20260817/official-cn-image-overlay/overlay_manifest.json#page/arena/btn_change.png	2965	184	42
magica/resource/image_web/page/arena/btn_condition.png	png	official-cn-same-path	official-cn-legacy-client	copy-official-cn-same-path-same-geometry	magica/research/totentanz-full-localization-20260817/official-cn-image-overlay/overlay_manifest.json#page/arena/btn_condition.png	4681	146	50
magica/resource/image_web/page/arena/btn_infinite_a.png	png	official-cn-gap-direct	official-cn-legacy-client-image	copy-official-cn-same-path	magica/research/totentanz-full-localization-20260817/official-cn-image-overlay-round2/overlay_manifest.json#SOURCE-IMG-0070	48980	344	344
magica/resource/image_web/page/arena/confirm/btn_battle_start.png	png	official-cn-same-path	official-cn-legacy-client	copy-official-cn-same-path-css-geometry-exception	magica/research/totentanz-full-localization-20260817/official-cn-image-overlay/overlay_manifest.json#page/arena/confirm/btn_battle_start.png	10697	298	90
magica/resource/image_web/page/arena/confirm/enemy_bonus_pt_bg.png	png	official-cn-gap-direct	official-cn-legacy-client-image	copy-official-cn-same-path	magica/research/totentanz-full-localization-20260817/official-cn-image-overlay-round2/overlay_manifest.json#SOURCE-IMG-0071	1440	496	42
magica/resource/image_web/page/arena/confirm/enemy_formation_bg.png	png	official-cn-gap-direct	official-cn-legacy-client-image	copy-official-cn-same-path	magica/research/totentanz-full-localization-20260817/official-cn-image-overlay-round2/overlay_manifest.json#SOURCE-IMG-0072	1767	496	42
magica/resource/image_web/page/arena/confirm/enemy_header.png	png	official-cn-same-path	official-cn-legacy-client	copy-official-cn-same-path-same-geometry	magica/research/totentanz-full-localization-20260817/official-cn-image-overlay/overlay_manifest.json#page/arena/confirm/enemy_header.png	1371	188	42
magica/resource/image_web/page/arena/confirm/enemy_mirrors_pt_bg.png	png	official-cn-gap-direct	official-cn-legacy-client-image	copy-official-cn-same-path	magica/research/totentanz-full-localization-20260817/official-cn-image-overlay-round2/overlay_manifest.json#SOURCE-IMG-0073	1369	496	42
magica/resource/image_web/page/arena/confirm/enemy_ranking_pt_bg.png	png	official-cn-same-path	official-cn-legacy-client	copy-official-cn-same-path-same-geometry	magica/research/totentanz-full-localization-20260817/official-cn-image-overlay/overlay_manifest.json#page/arena/confirm/enemy_ranking_pt_bg.png	1040	496	42
magica/resource/image_web/page/arena/confirm/enemy_team_pt_bg.png	png	official-cn-same-path	official-cn-legacy-client	copy-official-cn-same-path-same-geometry	magica/research/totentanz-full-localization-20260817/official-cn-image-overlay/overlay_manifest.json#page/arena/confirm/enemy_team_pt_bg.png	1210	496	42
magica/resource/image_web/page/arena/current_header_l.png	png	official-cn-same-path	official-cn-legacy-client	copy-official-cn-same-path-same-geometry	magica/research/totentanz-full-localization-20260817/official-cn-image-overlay/overlay_manifest.json#page/arena/current_header_l.png	572	174	28
magica/resource/image_web/page/arena/current_header_l_a.png	png	official-cn-same-path	official-cn-legacy-client	copy-official-cn-same-path-same-geometry	magica/research/totentanz-full-localization-20260817/official-cn-image-overlay/overlay_manifest.json#page/arena/current_header_l_a.png	4589	182	68
