source	target	mapping_kind	source_bytes	target_bytes	source_sha256	target_sha256	source_width	source_height	target_width	target_height	same_dimensions	visible_change_ratio	visible_identical_ratio	alpha_change_ratio	visual_mae	dhash_distance	confidence	reason
resource/image_web/page/collection/magirepo/img/part2/magirepo_02_016.png	resource/image_web/page/collection/magirepo/img/part2/magirepo_02_016.png	same_path	302163	260673	47f942bacb234e10e7df1518b0526252b03ead42b2b20f0b1ff0b0f0b7357209	4ea437bd535d5a359e907e19cc3548f3725aecc6f2ec816207a3d9c48dbb78c6	1024	1456	1024	1456	True	0.238493	0.761507	0.0	3.276771	0.039062	high	same path/dimensions; mostly identical rendered pixels; text-oriented path
resource/image_web/page/collection/magirepo/img/part2/magirepo_02_024.png	resource/image_web/page/collection/magirepo/img/part2/magirepo_02_024.png	same_path	343964	278657	ff173aa83d7bd7911595f25c11cd2d2f3e4285abb2cdfd63136d0def8b663f77	f2a8f76aa83c6a274c2ae4488b907433ed8efc1acfca1bf3d4631295a8b17e37	1024	1456	1024	1456	True	0.265775	0.734225	0.0	4.685773	0.054688	high	same path/dimensions; mostly identical rendered pixels; text-oriented path
resource/image_web/page/collection/magirepo/img/part2/magirepo_02_025.png	resource/image_web/page/collection/magirepo/img/part2/magirepo_02_025.png	same_path	312553	256531	3f3efa644c505d82f5243181cc310a47912c12518ff7ecdee26faddbee2e3dff	8c06bb5032b2a6511fcd9f60338df0e2dca313c4376abaa7a64548dd8c0244eb	1024	1456	1024	1456	True	0.276521	0.723479	0.0	3.824925	0.03125	high	same path/dimensions; mostly identical rendered pixels; text-oriented path
resource/image_web/page/collection/magirepo/img/part2/magirepo_02_038.png	resource/image_web/page/collection/magirepo/img/part2/magirepo_02_038.png	same_path	278922	284954	ee20f8c2aeead6aeb77fe88cfd50e739b848e8edfdeb9ed8783d9ea0831ee7ff	ab69f93be6538f4b07e5401c6f893189b82e64084fb28c0a3b7fac47a6309dd0	1024	1456	1024	1456	True	0.243623	0.756377	0.004979	6.983231	0.066406	high	same path/dimensions; mostly identical rendered pixels; text-oriented path
resource/image_web/page/collection/magirepo/img/part2/magirepo_02_041.png	resource/image_web/page/collection/magirepo/img/part2/magirepo_02_041.png	same_path	319684	255341	b309dd64dfd830fdd63923effd542058bd24541df444083ff1c8b72666826ef2	dd224ec0566c991a79ae4d3fd04b4187a916e4009d0a8f6942bd3410d82a664e	1024	1456	1024	1456	True	0.279294	0.720706	0.0	4.553061	0.046875	high	same path/dimensions; mostly identical rendered pixels; text-oriented path
resource/image_web/page/collection/magirepo/img/part2/magirepo_02_046.png	resource/image_web/page/collection/magirepo/img/part2/magirepo_02_046.png	same_path	283099	273583	f7c9c66afe70d3aa6f66e517c7dec58b321130c8d63f4039e4d4dab2c69532f1	bb01551d56ac6bdfb616ec147f23a6ff466ee04ff77b3ed2adfb660ccf40a735	1024	1456	1024	1456	True	0.277161	0.722839	0.00235	5.384782	0.050781	high	same path/dimensions; mostly identical rendered pixels; text-oriented path
resource/image_web/page/collection/magirepo/img/part2/magirepo_02_050.png	resource/image_web/page/collection/magirepo/img/part2/magirepo_02_050.png	same_path	270824	252375	bc41d1045a4b33f66a1b2c2f035ab9f714362c5b3081b32babc05e35bc157029	ab3751a66d5eb6d7857338b25a2a3fa4e798e233ce0a2a5231de1861653776b0	1024	1456	1024	1456	True	0.262299	0.737701	0.004981	3.995335	0.03125	high	same path/dimensions; mostly identical rendered pixels; text-oriented path
resource/image_web/page/collection/magirepo/img/part2/magirepo_02_053.png	resource/image_web/page/collection/magirepo/img/part2/magirepo_02_053.png	same_path	320641	273592	d17557f2844c71643742fc4661e200f5ce1919bbefceb96faaf6b977c515a945	2c91036ab34a36fece07d1a663b864c0ebf8295244c001594c7e1b8622b7a510	1024	1456	1024	1456	True	0.274912	0.725088	0.0	3.726242	0.003906	high	same path/dimensions; mostly identical rendered pixels; text-oriented path
resource/image_web/page/collection/magirepo/img/part2/magirepo_02_054.png	resource/image_web/page/collection/magirepo/img/part2/magirepo_02_054.png	same_path	300148	290209	44cd7344bf54f0d202eeb29fb824c18869849604b67d3ee03e93152e5c0f4ff1	4978b53e120d8b1648eff89814458932b44d761f005cb51eb9e1692d300031ee	1024	1456	1024	1456	True	0.195861	0.804139	0.0	2.709074	0.023438	high	same path/dimensions; mostly identical rendered pixels; text-oriented path
resource/image_web/page/collection/magirepo/img/part2/magirepo_02_066.png	resource/image_web/page/collection/magirepo/img/part2/magirepo_02_066.png	same_path	264891	209827	c947bba84f00d988fb9020ab3560d59fb55b155d3455a9c9733e78aeeb8fbaf5	885f63f99cbee00f8dc5a62c4bba9205ce8d441f47e731983e05c4e7465c600e	1024	1456	1024	1456	True	0.272649	0.727351	0.004007	5.986346	0.035156	high	same path/dimensions; mostly identical rendered pixels; text-oriented path
